## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[s_ex.bam] OUTPUT=mds_ex.bam METRICS_FILE=xmd_metrics.txt USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 29 22:05:31 CST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	47625	1377	3	0	9	4	0.000189	226760089

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000084	47607	0	47611
2.0	1.999958	9	4	5
3.0	2.999622	0	0	0
4.0	3.999076	0	0	0
5.0	4.99832	0	0	0
6.0	5.997355	0	0	0
7.0	6.996179	0	0	0
8.0	7.994794	0	0	0
9.0	8.993199	0	0	0
10.0	9.991394	0	0	0
11.0	10.98938	0	0	0
12.0	11.987156	0	0	0
13.0	12.984723	0	0	0
14.0	13.98208	0	0	0
15.0	14.979228	0	0	0
16.0	15.976166	0	0	0
17.0	16.972895	0	0	0
18.0	17.969415	0	0	0
19.0	18.965725	0	0	0
20.0	19.961826	0	0	0
21.0	20.957718	0	0	0
22.0	21.953401	0	0	0
23.0	22.948875	0	0	0
24.0	23.94414	0	0	0
25.0	24.939195	0	0	0
26.0	25.934042	0	0	0
27.0	26.92868	0	0	0
28.0	27.923109	0	0	0
29.0	28.917329	0	0	0
30.0	29.91134	0	0	0
31.0	30.905143	0	0	0
32.0	31.898736	0	0	0
33.0	32.892122	0	0	0
34.0	33.885298	0	0	0
35.0	34.878266	0	0	0
36.0	35.871026	0	0	0
37.0	36.863577	0	0	0
38.0	37.855919	0	0	0
39.0	38.848054	0	0	0
40.0	39.839979	0	0	0
41.0	40.831697	0	0	0
42.0	41.823206	0	0	0
43.0	42.814507	0	0	0
44.0	43.8056	0	0	0
45.0	44.796485	0	0	0
46.0	45.787161	0	0	0
47.0	46.77763	0	0	0
48.0	47.767891	0	0	0
49.0	48.757943	0	0	0
50.0	49.747788	0	0	0
51.0	50.737425	0	0	0
52.0	51.726854	0	0	0
53.0	52.716075	0	0	0
54.0	53.705089	0	0	0
55.0	54.693895	0	0	0
56.0	55.682493	0	0	0
57.0	56.670883	0	0	0
58.0	57.659066	0	0	0
59.0	58.647042	0	0	0
60.0	59.63481	0	0	0
61.0	60.62237	0	0	0
62.0	61.609724	0	0	0
63.0	62.596869	0	0	0
64.0	63.583808	0	0	0
65.0	64.570539	0	0	0
66.0	65.557063	0	0	0
67.0	66.54338	0	0	0
68.0	67.52949	0	0	0
69.0	68.515393	0	0	0
70.0	69.501088	0	0	0
71.0	70.486577	0	0	0
72.0	71.471859	0	0	0
73.0	72.456933	0	0	0
74.0	73.441801	0	0	0
75.0	74.426462	0	0	0
76.0	75.410917	0	0	0
77.0	76.395164	0	0	0
78.0	77.379205	0	0	0
79.0	78.363039	0	0	0
80.0	79.346667	0	0	0
81.0	80.330088	0	0	0
82.0	81.313303	0	0	0
83.0	82.296311	0	0	0
84.0	83.279112	0	0	0
85.0	84.261708	0	0	0
86.0	85.244096	0	0	0
87.0	86.226279	0	0	0
88.0	87.208255	0	0	0
89.0	88.190025	0	0	0
90.0	89.171589	0	0	0
91.0	90.152947	0	0	0
92.0	91.134099	0	0	0
93.0	92.115045	0	0	0
94.0	93.095784	0	0	0
95.0	94.076318	0	0	0
96.0	95.056646	0	0	0
97.0	96.036768	0	0	0
98.0	97.016684	0	0	0
99.0	97.996394	0	0	0
100.0	98.975899	0	0	0

